Symbol,name,Z,atomic weight /Da,atomic radius /pm,density /kg.m-3,abundance,melting point /K,boiling point /K
H,Hydrogen,1,   1.008000000,25.0,0.08988,0.0014,13.99,20.271
He,Helium,2,   4.002602000,120.0,0.1785,8e-09,1.8,4.222
Li,Lithium,3,   6.940000000,145.0,534.0,2e-05,453.7,1603.0
Be,Beryllium,4,   9.012183100,105.0,1848.0,2.8e-06,1560.0,2742.0
B,Boron,5,  10.810000000,85.0,2460.0,1e-05,2349.0,4200.0
C,Carbon,6,  12.011000000,70.0,2267.0,0.0002,3800.0,4300.0
N,Nitrogen,7,  14.007000000,65.0,1.2505,1.9e-05,63.2,77.355
O,Oxygen,8,  15.999000000,60.0,1.429,0.461,54.4,90.188
F,Fluorine,9,  18.998403163,50.0,1.6074,0.000585,53.5,85.04
Ne,Neon,10,  20.179700000,160.0,0.9002,5.1e-09,24.6,27.104
Na,Sodium,11,  22.989769280,180.0,968.0,0.0236,370.9,1156.09
Mg,Magnesium,12,  24.305000000,150.0,1738.0,0.0233,923.0,1363.0
Al,Aluminium,13,  26.981538400,125.0,2700.0,0.0823,933.5,2743.0
Si,Silicon,14,  28.085000000,110.0,2330.0,0.282,1687.0,3538.0
P,Phosphorus,15,  30.973761998,100.0,1823.0,0.00105,317.3,550.0
S,Sulfur,16,  32.060000000,100.0,1960.0,0.00035,368.4,717.8
Cl,Chlorine,17,  35.450000000,100.0,3.214,0.000145,171.6,239.11
Ar,Argon,18,  39.950000000,71.0,1.784,3.5e-06,83.8,87.302
K,Potassium,19,  39.098300000,220.0,890.0,0.0209,336.7,1032.0
Ca,Calcium,20,  40.078000000,180.0,1540.0,0.0415,1115.0,1757.0
Sc,Scandium,21,  44.955908000,160.0,2990.0,2.2e-05,1814.0,3109.0
Ti,Titanium,22,  47.867000000,140.0,4506.0,0.00565,1941.0,3560.0
V,Vanadium,23,  50.941500000,135.0,6110.0,0.00012,2183.0,3680.0
Cr,Chromium,24,  51.996100000,140.0,7150.0,0.000102,2180.0,2755.0
Mn,Manganese,25,  54.938043000,140.0,7300.0,0.00095,1519.0,2334.0
Fe,Iron,26,  55.845000000,140.0,7870.0,0.0563,1811.0,3134.0
Co,Cobalt,27,  58.933194000,135.0,8900.0,2.5e-05,1768.0,3200.0
Ni,Nickel,28,  58.693400000,135.0,8908.0,8.4e-05,1728.0,3003.0
Cu,Copper,29,  63.546000000,135.0,8960.0,6e-05,1357.8,2835.0
Zn,Zinc,30,  65.380000000,135.0,7140.0,7e-05,692.7,1180.0
Ga,Gallium,31,  69.723000000,130.0,5904.0,1.9e-05,302.9,2673.0
Ge,Germanium,32,  72.630000000,125.0,5323.0,1.5e-06,1211.4,3106.0
As,Arsenic,33,  74.921595000,115.0,5725.0,1.8000000000000001e-06,1090.0,887.0
Se,Selenium,34,  78.971000000,115.0,4819.0,5.0000000000000004e-08,494.0,958.0
Br,Bromine,35,  79.904000000,115.0,3102.8,2.4e-06,265.8,332.0
Kr,Krypton,36,  83.798000000,-,3.749,1e-10,115.8,119.735
Rb,Rubidium,37,  85.467800000,235.0,1532.0,9e-05,312.5,961.0
Sr,Strontium,38,  87.620000000,200.0,2640.0,0.00037,1050.0,1650.0
